historical_job_hash,historical_verb,historical_raw_score,current_opportunity_id,current_canonical_id,current_version_id,current_document_id,match_method,confidence,disposition
"indeed:d1013f952c60c9f6","SPARSE_SPEC","","","807cb1937558a28d66de3ca92df2ed6a53af84243c8ca5063ca1db2603cf63ff","b9b53cc8dca2700b6e2379126894605c2d898875620f0f33b648abf06f659781","","LEVEL 1: Exact Native Source ID","PROVEN","SURVIVED_CANONICAL"
"indeed:d5e642b4a1eb6611","SPARSE_SPEC","0","","6df17cc926ddd1b030bef562eeef12a6e8dbb7c20b5b05dc9ac816283caf0e64","468370b788b0777440bba5c9d9766f5ddc614370c16e566fc04f0b555792fe78","","LEVEL 1: Exact Native Source ID","PROVEN","SURVIVED_CANONICAL"
"indeed:d622bc0caba99804","SPARSE_SPEC","0","","","","","NONE","UNKNOWN","HISTORICALLY_PRESENT_CURRENTLY_ABSENT"
"indeed:d765f7ec9159fc2a","SPARSE_SPEC","0","","","","","NONE","UNKNOWN","HISTORICALLY_PRESENT_CURRENTLY_ABSENT"
"indeed:d77352d8684212b4","SPARSE_SPEC","0","","","","","NONE","UNKNOWN","HISTORICALLY_PRESENT_CURRENTLY_ABSENT"
"indeed:d7d6488aad3fc850","SPARSE_SPEC","0","","06861616003cccfd11429c9a6e2353c1b49becd69891ff1e389b673e0848bb24","dba062280f728d4d7a5abb2147dcd905adcba24aa760756157845aab2b269490","","LEVEL 1: Exact Native Source ID","PROVEN","SURVIVED_CANONICAL"
"indeed:d847292c0bd50d19","SPARSE_SPEC","0","","8306a5830aed8690c43acc62eae2c05d778234124c618dd267cad9f2e211569e","e44b7da3c703c4ad1219ef4a3daf257ff87aa96fdd4e01c5620f77f8c55712d5","","LEVEL 1: Exact Native Source ID","PROVEN","SURVIVED_CANONICAL"
"indeed:d8a5ab0c767cef3c","SPARSE_SPEC","0","","","","","NONE","UNKNOWN","HISTORICALLY_PRESENT_CURRENTLY_ABSENT"
"indeed:d8e199ed1119160e","SPARSE_SPEC","0","","","","","NONE","UNKNOWN","HISTORICALLY_PRESENT_CURRENTLY_ABSENT"
"indeed:dc9880aeb172ccd4","SPARSE_SPEC","","","25ee08ec4913afb4e0870363d12112b20070b8c244b79a230da311b0b0c75755","78d8842ff10f7e8bd6d325373808c140f955ff744f7f6ddc965647c09174bd89","","LEVEL 1: Exact Native Source ID","PROVEN","SURVIVED_CANONICAL"
"indeed:e2d233e7694c9114","SPARSE_SPEC","","","7ccf25410eb60b4afa6b38668341f29f93f66c76a0384d1a6ca9590343d47517","6be41c989847750350245427c76e366058e46088bc86956e56eaa8c97ed55a09","","LEVEL 1: Exact Native Source ID","PROVEN","SURVIVED_CANONICAL"
"indeed:e3c37ee527d2ce8e","SPARSE_SPEC","","","","","","NONE","UNKNOWN","HISTORICALLY_PRESENT_CURRENTLY_ABSENT"
"indeed:e3e54cc1587d28bd","SPARSE_SPEC","0","","410cde869a97ca6c60b0dc113ff0deeba13087d5bdbd5cb117ba0e2ef402aac8","7106043f7b9ad8bbdfa957efe4a5b03c3bd09bb9b85371d50f87c66213e8d58d","","LEVEL 1: Exact Native Source ID","PROVEN","SURVIVED_CANONICAL"
"indeed:e52e9403f8fdb75d","SPARSE_SPEC","0","","9a702837181836304b754669fe193362ce9b11a4065b3bdd4adfc5be6e681f50","7540b098284caee0b26b853735d3ba1894c474736d36e5854d8a1f83cdf33cd9","","LEVEL 1: Exact Native Source ID","PROVEN","SURVIVED_CANONICAL"
"indeed:ea4549782df14c99","SPARSE_SPEC","","","8dbe01f87eee8bdc7695595317215cbb67c80c21198d9ad2dbecf0f3ee9d0ff8","4f3f2419da19553bb3bd07f47e4e5faa2022db5f54e3cf33fdb4edd1d59503a4","","LEVEL 1: Exact Native Source ID","PROVEN","SURVIVED_CANONICAL"
"indeed:ead833cb2cf43ea0","SPARSE_SPEC","0","","","","","NONE","UNKNOWN","HISTORICALLY_PRESENT_CURRENTLY_ABSENT"
"indeed:ec7c9b675b33821f","SPARSE_SPEC","0","","","","","NONE","UNKNOWN","HISTORICALLY_PRESENT_CURRENTLY_ABSENT"
"indeed:ed22c1555049c811","SPARSE_SPEC","0","","","","","NONE","UNKNOWN","HISTORICALLY_PRESENT_CURRENTLY_ABSENT"
"indeed:ed977fd77ab76b68","SPARSE_SPEC","0","","","","","NONE","UNKNOWN","HISTORICALLY_PRESENT_CURRENTLY_ABSENT"
"indeed:eeefe01df25abf0c","SPARSE_SPEC","0","","94afc12a72e0dc4dcd644d2822d0ad51ea277a4a6a3c5518ea67df9a0e418a5b","8c90d6b086e4ad7befe832e966ab3ea3d3879f9dec0be477c71fb30d81e2f935","","LEVEL 1: Exact Native Source ID","PROVEN","SURVIVED_CANONICAL"
"indeed:ef871d98e3f4f3e4","SPARSE_SPEC","","","","","","NONE","UNKNOWN","HISTORICALLY_PRESENT_CURRENTLY_ABSENT"
"indeed:f52f3d9883b5f9b8","SPARSE_SPEC","0","","5e03960645a58f3c0e94452d3ceab16cbf48daf8ebd0a1351f661e5a63bf08c2","d7eee3111bcb0fb0fd41e3212c1c25083ecda694994ac842024b51e2fab64dd6","","LEVEL 1: Exact Native Source ID","PROVEN","SURVIVED_CANONICAL"
"indeed:f71767ae428c86f2","SPARSE_SPEC","0","","","","","NONE","UNKNOWN","HISTORICALLY_PRESENT_CURRENTLY_ABSENT"
"indeed:f76d677edf413d3c","SPARSE_SPEC","0","","","","","NONE","UNKNOWN","HISTORICALLY_PRESENT_CURRENTLY_ABSENT"
"indeed:fbc17f52bca02354","SPARSE_SPEC","0","","159fa1d6fde5b1e650f50c60763947bbb72f7423a3f66ad495a9803d3b0194ec","0e0c9644b6c9eb9c2dc75a3463c3515b63f67da25a8aec502acb535669968c8d","","LEVEL 1: Exact Native Source ID","PROVEN","SURVIVED_CANONICAL"
"indeed:fcec5a9bd26838cf","SPARSE_SPEC","0","","41c66c0f28983dadf57d6831fd4ab573cd8009eea8ea4de1aa462cc074ad101f","db0196c964a000a0199b2d548d804d0c00ff24824a5f5b36e4d8ce37ba8caab6","","LEVEL 1: Exact Native Source ID","PROVEN","SURVIVED_CANONICAL"
"indeed:fcfd8fdfcfa992f4","SPARSE_SPEC","","","","","","NONE","UNKNOWN","HISTORICALLY_PRESENT_CURRENTLY_ABSENT"
"j-001903942cc3","CONSIDER","67","","","","","NONE","UNKNOWN","HISTORICALLY_PRESENT_CURRENTLY_ABSENT"
"j-001df2413dad","CONSIDER","56","","","","","NONE","UNKNOWN","HISTORICALLY_PRESENT_CURRENTLY_ABSENT"
