jobHash,stored_verdict,adapter_verdict,serving_verdict,corruption_status
44cb18f9c7d1ccd1,SPARSE_SPEC,SPARSE_SPEC,SPARSE_SPEC,OK
44ce2f00dddea5c1,SPARSE_SPEC,SPARSE_SPEC,SPARSE_SPEC,OK
453952fed7ffe3b5,SPARSE_SPEC,SPARSE_SPEC,SPARSE_SPEC,OK
45804295268f335d,SPARSE_SPEC,SPARSE_SPEC,SPARSE_SPEC,OK
46971cfe045ee375,SPARSE_SPEC,SPARSE_SPEC,SPARSE_SPEC,OK
46d1840e812da949,SPARSE_SPEC,SPARSE_SPEC,SPARSE_SPEC,OK
474c8cc4abd59431,SPARSE_SPEC,SPARSE_SPEC,SPARSE_SPEC,OK
475f62958ca40f3f,SPARSE_SPEC,SPARSE_SPEC,SPARSE_SPEC,OK
478caf4447f9f645,SPARSE_SPEC,SPARSE_SPEC,SPARSE_SPEC,OK
47a6ffd6acf43f1e,SPARSE_SPEC,SPARSE_SPEC,SPARSE_SPEC,OK
4891438bbf1fa31e,SPARSE_SPEC,SPARSE_SPEC,SPARSE_SPEC,OK
4967a9a3cc8b095e,SPARSE_SPEC,SPARSE_SPEC,SPARSE_SPEC,OK
49aabbff693eb525,SPARSE_SPEC,SPARSE_SPEC,SPARSE_SPEC,OK
4a746e13d5bfd28d,SPARSE_SPEC,SPARSE_SPEC,SPARSE_SPEC,OK
4b066f9e8828568b,SPARSE_SPEC,SPARSE_SPEC,SPARSE_SPEC,OK
4b6887b116c77b4d,SPARSE_SPEC,SPARSE_SPEC,SPARSE_SPEC,OK
4b6ab6d2e5cfd349,SPARSE_SPEC,SPARSE_SPEC,SPARSE_SPEC,OK
4c42e482a5c3520b,SPARSE_SPEC,SPARSE_SPEC,SPARSE_SPEC,OK
4c7f1df5a9c8d5e5,SPARSE_SPEC,SPARSE_SPEC,SPARSE_SPEC,OK
4cb2cd802a53b928,SPARSE_SPEC,SPARSE_SPEC,SPARSE_SPEC,OK
4cf037e0254b3635,SPARSE_SPEC,SPARSE_SPEC,SPARSE_SPEC,OK
4d27762bc3815ec1,SPARSE_SPEC,SPARSE_SPEC,SPARSE_SPEC,OK
4d2dab6d391bb646,SPARSE_SPEC,SPARSE_SPEC,SPARSE_SPEC,OK
4d45505738b44ddb,SPARSE_SPEC,SPARSE_SPEC,SPARSE_SPEC,OK
4dd2f795f972c48e,SPARSE_SPEC,SPARSE_SPEC,SPARSE_SPEC,OK
4e16861d21999f97,SPARSE_SPEC,SPARSE_SPEC,SPARSE_SPEC,OK
4e7ceee5d32e98fe,SPARSE_SPEC,SPARSE_SPEC,SPARSE_SPEC,OK
4f9cdc27fb6e0267,SPARSE_SPEC,SPARSE_SPEC,SPARSE_SPEC,OK
50be545d8352a5d8,SPARSE_SPEC,SPARSE_SPEC,SPARSE_SPEC,OK
5109992ba70f9a75,SPARSE_SPEC,SPARSE_SPEC,SPARSE_SPEC,OK
512bfa485ca5ad66,SPARSE_SPEC,SPARSE_SPEC,SPARSE_SPEC,OK
5179e7aa7f17599d,SPARSE_SPEC,SPARSE_SPEC,SPARSE_SPEC,OK
51d634f694daa93c,SPARSE_SPEC,SPARSE_SPEC,SPARSE_SPEC,OK
52004f7cc34385fa,SPARSE_SPEC,SPARSE_SPEC,SPARSE_SPEC,OK
521a47baf677152f,SPARSE_SPEC,SPARSE_SPEC,SPARSE_SPEC,OK
52b40a1a22531851,SPARSE_SPEC,SPARSE_SPEC,SPARSE_SPEC,OK
52d131de41704644,SPARSE_SPEC,SPARSE_SPEC,SPARSE_SPEC,OK
532d73d733196ae8,SPARSE_SPEC,SPARSE_SPEC,SPARSE_SPEC,OK
5443d52ccc90be78,SPARSE_SPEC,SPARSE_SPEC,SPARSE_SPEC,OK
546cec6bd1152527,SPARSE_SPEC,SPARSE_SPEC,SPARSE_SPEC,OK
54cd6841ed00d142,SPARSE_SPEC,SPARSE_SPEC,SPARSE_SPEC,OK
551daef3543af0b1,SPARSE_SPEC,SPARSE_SPEC,SPARSE_SPEC,OK
55999c23d0a71ac1,SPARSE_SPEC,SPARSE_SPEC,SPARSE_SPEC,OK
56122e691983b5c7,SPARSE_SPEC,SPARSE_SPEC,SPARSE_SPEC,OK
5618620233cffb97,SPARSE_SPEC,SPARSE_SPEC,SPARSE_SPEC,OK
565a75e36d8312a3,SPARSE_SPEC,SPARSE_SPEC,SPARSE_SPEC,OK
56aa734d220442db,SPARSE_SPEC,SPARSE_SPEC,SPARSE_SPEC,OK
57ebdd5a38c04412,SPARSE_SPEC,SPARSE_SPEC,SPARSE_SPEC,OK
5884559b7684f8b0,SPARSE_SPEC,SPARSE_SPEC,SPARSE_SPEC,OK
5a02d0ded8e248a3,SPARSE_SPEC,SPARSE_SPEC,SPARSE_SPEC,OK
5a396a62ff24071e,SPARSE_SPEC,SPARSE_SPEC,SPARSE_SPEC,OK
5a4a694b44d9047e,SPARSE_SPEC,SPARSE_SPEC,SPARSE_SPEC,OK
5a4d04181f0b7ec0,SPARSE_SPEC,SPARSE_SPEC,SPARSE_SPEC,OK
5ab016a74a5b818a,SPARSE_SPEC,SPARSE_SPEC,SPARSE_SPEC,OK
5acfb16310b99cd8,SPARSE_SPEC,SPARSE_SPEC,SPARSE_SPEC,OK
5add4b05530dc7b8,SPARSE_SPEC,SPARSE_SPEC,SPARSE_SPEC,OK
5b4f77c51c3741d7,SPARSE_SPEC,SPARSE_SPEC,SPARSE_SPEC,OK
5bb5056e2ddd0444,SPARSE_SPEC,SPARSE_SPEC,SPARSE_SPEC,OK
5c0772802ef24b2b,SPARSE_SPEC,SPARSE_SPEC,SPARSE_SPEC,OK
5c458d2881600bd2,SPARSE_SPEC,SPARSE_SPEC,SPARSE_SPEC,OK
5c5ffdec181814d5,SPARSE_SPEC,SPARSE_SPEC,SPARSE_SPEC,OK
5ca3258554fe3c72,SPARSE_SPEC,SPARSE_SPEC,SPARSE_SPEC,OK
5d0cd93e88495f9d,SPARSE_SPEC,SPARSE_SPEC,SPARSE_SPEC,OK
5d3020a614c2027c,SPARSE_SPEC,SPARSE_SPEC,SPARSE_SPEC,OK
5da786359c47dca5,SPARSE_SPEC,SPARSE_SPEC,SPARSE_SPEC,OK
5df57d006bb1ebb6,SPARSE_SPEC,SPARSE_SPEC,SPARSE_SPEC,OK
5e87de21897e6da7,SPARSE_SPEC,SPARSE_SPEC,SPARSE_SPEC,OK
5ffd478d4d9db42d,SPARSE_SPEC,SPARSE_SPEC,SPARSE_SPEC,OK
603c3478a859dd40,SPARSE_SPEC,SPARSE_SPEC,SPARSE_SPEC,OK
60e8211a6fd84531,SPARSE_SPEC,SPARSE_SPEC,SPARSE_SPEC,OK
60f359892e41d34c,SPARSE_SPEC,SPARSE_SPEC,SPARSE_SPEC,OK
61d5b8fb2e0d108a,SPARSE_SPEC,SPARSE_SPEC,SPARSE_SPEC,OK
626bda789ca444de,SPARSE_SPEC,SPARSE_SPEC,SPARSE_SPEC,OK
627fed0684017e34,SPARSE_SPEC,SPARSE_SPEC,SPARSE_SPEC,OK
62889584a2d4eb62,SPARSE_SPEC,SPARSE_SPEC,SPARSE_SPEC,OK
62b4db5df2edb466,SPARSE_SPEC,SPARSE_SPEC,SPARSE_SPEC,OK
62b5c99cceb6f16d,SPARSE_SPEC,SPARSE_SPEC,SPARSE_SPEC,OK
62e4a69209df0777,SPARSE_SPEC,SPARSE_SPEC,SPARSE_SPEC,OK
62fd6fd43fc861f8,SPARSE_SPEC,SPARSE_SPEC,SPARSE_SPEC,OK
6408d4b903ecdec5,SPARSE_SPEC,SPARSE_SPEC,SPARSE_SPEC,OK
64204c304f754a72,SPARSE_SPEC,SPARSE_SPEC,SPARSE_SPEC,OK
6448de8c633771e2,SPARSE_SPEC,SPARSE_SPEC,SPARSE_SPEC,OK
64e6ac268f18bfce,SPARSE_SPEC,SPARSE_SPEC,SPARSE_SPEC,OK
6509099937ea31d9,SPARSE_SPEC,SPARSE_SPEC,SPARSE_SPEC,OK
655e2397fb8b0ed9,SPARSE_SPEC,SPARSE_SPEC,SPARSE_SPEC,OK
65dd25190a5b1770,SPARSE_SPEC,SPARSE_SPEC,SPARSE_SPEC,OK
65eb9f0af8c7627a,SPARSE_SPEC,SPARSE_SPEC,SPARSE_SPEC,OK
6653550efdc1e9f9,SPARSE_SPEC,SPARSE_SPEC,SPARSE_SPEC,OK
